Year,DoY,season,daily_NEE,daily_GPP,daily_Reco,MaxT,MinT,Radn,rainfall,TairMean,pdi,mean_SoilC,grazeYN
2022,97,Spring,0.955831751,-0.6979035042,1.6537326433,7.8,0,7.94,0,5.752777778,0.53,5.4703537,N
2022,98,Spring,-0.754226511,-2.7316054968,1.9773732385,13.9,3.3,10.43,46,8.687847223,0.53,4.943158717,N
2022,99,Spring,-1.0970995112,-2.7316521909000002,1.6345450326,8.9,0.6,5.16,9.1,5.285069444,-0.1,5.600679017,N
2022,100,Spring,-0.6584747903999999,-2.4607455288,1.8022645927,12.8,0,20.76,0.3,6.402777778,-0.1,5.365679675,N
2022,101,Spring,-0.1671490082,-2.3888358386,2.2216774376,17.2,2.8,23.15,0,9.426736111,-0.1,6.507386779,N
2022,102,Spring,-0.07779654600000002,-2.5671624192,2.4893733989999998,18.9,5,12.08,2,11.071875,-0.1,8.038769033,N
2022,103,Spring,-1.1818349708,-3.553059259,2.3712241438,15.6,3.3,7.55,2.5,10.02118056,-0.1,8.596959688,N
2022,104,Spring,-1.6474707934,-3.647294698,1.9998246738,7.8,5.6,3.4,0.8,7.028472222,-0.1,8.6250651,N
2022,105,Spring,-0.9939438724,-3.7292433546,2.7352928906,17.8,4.4,22.95,1.5,12.22222222,-0.1,6.605086271,N
2022,106,Spring,-1.044447826,-3.7661715011,2.7217327952,14.4,5.6,6.44,6.4,11.73680556,0.7,9.7630834,N
2022,107,Spring,-2.1788717472,-4.088177996,1.9092914157,10,1.1,21.07,8.6,5.617361111,0.7,8.3749672,N
2022,108,Spring,-1.3463658,-3.3123240572,1.9659561463,10.6,-1.7,24.08,0,5.866666666,0.7,6.379412583,N
2022,109,Spring,-1.1653552943999999,-3.4859998514,2.3206433907,12.8,4.4,10.75,19.8,8.352083333,0.7,6.628872171,N
2022,110,Spring,-1.7874407378,-3.9691236256,2.1816916514,11.1,1.1,23.6,0,7.035069444,0.7,6.883597313,N
